Date : 2026-05-05 10:06:22
Directory : /home/developer/projects/open-navigator
Total : 90 files,  5647 codes, 911 comments, 1404 blanks, all 7962 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/developer/projects/open-navigator/scripts/deployment/neon/README.md                                         | Markdown |        252 |          0 |         65 |        317 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/calculate_stats_only.py                           | Python   |        131 |         21 |         40 |        192 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrate.py                                        | Python   |        889 |        108 |        180 |      1,177 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrate_bills.py                                  | Python   |        158 |         64 |         49 |        271 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/001_add_datasource_fields.sql          | MS SQL   |        178 |         52 |         59 |        289 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/001_add_datasource_fields_rollback.sql | MS SQL   |         38 |         13 |          9 |         60 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/regenerate_bills_map.py                           | Python   |         73 |         13 |         18 |        104 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/schema.sql                                        | MS SQL   |        287 |         81 |         77 |        445 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/schema_bills.sql                                  | MS SQL   |         35 |         13 |         12 |         60 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/update_stats.py                                   | Python   |        141 |         24 |         41 |        206 |
| /home/developer/projects/open-navigator/website/docs/development/ai-model-evaluation.md                           | Markdown |        277 |          0 |         81 |        358 |
| /home/developer/projects/open-navigator/website/docs/development/ai-model-merging.md                              | Markdown |        396 |          0 |        124 |        520 |
| /home/developer/projects/open-navigator/website/docs/development/backlog.md                                       | Markdown |        374 |          0 |        143 |        517 |
| /home/developer/projects/open-navigator/website/docs/development/bronze-to-production-merge.md                    | Markdown |        328 |          0 |         83 |        411 |
| /home/developer/projects/open-navigator/website/docs/development/dbt-etl-strategy.md                              | Markdown |        445 |          0 |         90 |        535 |
| Total                                                                                                             |          |      5,647 |        911 |      1,404 |      7,962 |
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
