Date : 2026-05-14 20:08:39
Directory : /home/developer/projects/open-navigator
Total : 111 files,  8890 codes, 1523 comments, 979 blanks, all 11392 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/link_youtube_bronze_from_localview_preview.sql                              | MS SQL         |         91 |          6 |          6 |        103 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/load_youtube_channels_bronze.py                                             | Python         |         73 |         -8 |         -1 |         64 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/load_youtube_events_to_postgres.py                                          | Python         |         24 |         19 |          1 |         44 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_audit_ga_jurisdiction_youtube_gaps.sh                                   | Shell Script   |         34 |          3 |          8 |         45 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_audit_ga_youtube_download_filters.sh                                    | Shell Script   |         17 |         10 |          6 |         33 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_audit_localview_youtube_bronze_overlap.sh                               | Shell Script   |         21 |          4 |          7 |         32 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_audit_youtube_jurisdiction_coverage.sh                                  | Shell Script   |         23 |          6 |          9 |         38 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_backfill_bronze_youtube_publish_dates.sh                                | Shell Script   |          9 |         12 |          5 |         26 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_backfill_priority_states_youtube.sh                                     | Shell Script   |         28 |         17 |          8 |         53 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/run_link_youtube_bronze_from_localview.sh                                   | Shell Script   |         23 |          8 |          8 |         39 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/sql/preview_bronze_youtube_blank_publish_dates.sql                          | MS SQL         |         24 |          6 |          5 |         35 |
| /home/developer/projects/open-navigator/scripts/datasources/youtube/sync_bronze_youtube_from_localview.py                                       | Python         |         65 |        103 |         10 |        178 |
| /home/developer/projects/open-navigator/scripts/dbt-root.sh                                                                                     | Shell Script   |          5 |          8 |          1 |         14 |
| /home/developer/projects/open-navigator/scripts/dbt.sh                                                                                          | Shell Script   |          1 |          2 |          0 |          3 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/021_create_bronze_dot_public_events.sql                              | MS SQL         |         24 |          2 |          5 |         31 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/022_add_channel_description.sql                                      | MS SQL         |          4 |          2 |          4 |         10 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/023_drop_channel_view_count.sql                                      | MS SQL         |          4 |          2 |          4 |         10 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/024_add_view_count_bronze_events_channels.sql                        | MS SQL         |          4 |          2 |          4 |         10 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/025_bronze_events_youtube_video_id_unique.sql                        | MS SQL         |         11 |         11 |          7 |         29 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/026_create_public_jurisdiction_acs_place.sql                         | MS SQL         |         16 |          2 |          4 |         22 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/027_replace_jurisdiction_acs_place_with_unified_jurisdiction_acs.sql | MS SQL         |         32 |          3 |          8 |         43 |
| /home/developer/projects/open-navigator/scripts/deployment/neon/migrations/028_add_income_level_to_jurisdiction_acs.sql                         | MS SQL         |          5 |          2 |          3 |         10 |
| /home/developer/projects/open-navigator/scripts/development/try_scrape_with_cookies.py                                                          | Python         |        145 |         36 |         22 |        203 |
| /home/developer/projects/open-navigator/scripts/discovery/load_scraped_meetings_manifests_to_bronze.py                                          | Python         |          9 |          6 |          0 |         15 |
| /home/developer/projects/open-navigator/scripts/discovery/meetings_platform_heuristics.py                                                       | Python         |         17 |          6 |          3 |         26 |
| /home/developer/projects/open-navigator/scripts/frontend/sync_state_symbols_to_public.sh                                                        | Shell Script   |          8 |          3 |          1 |         12 |
| /home/developer/projects/open-navigator/scripts/frontend/sync_wikicommons_plates_public.sh                                                      | Shell Script   |         47 |          4 |          3 |         54 |
| /home/developer/projects/open-navigator/scripts/localview/scrape_youtube_channels.py                                                            | Python         |          5 |          4 |          0 |          9 |
| /home/developer/projects/open-navigator/website/docs/data-sources/citations.md                                                                  | Markdown       |        103 |          0 |         34 |        137 |
| /home/developer/projects/open-navigator/website/docs/for-advocates.md                                                                           | Markdown       |          3 |          0 |          6 |          9 |
| /home/developer/projects/open-navigator/website/docs/guides/hackathon-video-submission-ideas.md                                                 | Markdown       |          6 |          0 |          6 |         12 |
| /home/developer/projects/open-navigator/website/docs/integrations/eboard-manual.md                                                              | Markdown       |         62 |          0 |         13 |         75 |
| /home/developer/projects/open-navigator/website/docusaurus.config.ts                                                                            | TypeScript     |         17 |          2 |          3 |         22 |
| /home/developer/projects/open-navigator/website/sidebars.ts                                                                                     | TypeScript     |         -3 |          0 |          0 |         -3 |
| /home/developer/projects/open-navigator/website/src/clientModules/gtagSafeShim.ts                                                               | TypeScript     |         13 |          4 |          2 |         19 |
| Total                                                                                                                                           |                |      8,890 |      1,523 |        979 |     11,392 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
